CMDLINE /usr/bin/python3 evaluate_greedy_only_memprof.py
MEM 0.500000 1729308310.7936
MEM 30.230469 1729308310.8939
MEM 47.980469 1729308310.9941
MEM 83.605469 1729308311.0944
MEM 99.308594 1729308311.1947
MEM 103.183594 1729308311.2949
MEM 105.933594 1729308311.3952
MEM 109.558594 1729308311.4955
MEM 112.933594 1729308311.5957
MEM 113.683594 1729308311.6960
MEM 113.683594 1729308311.7962
MEM 113.808594 1729308311.8964
MEM 114.558594 1729308311.9967
MEM 114.808594 1729308312.0969
MEM 115.183594 1729308312.1972
MEM 115.808594 1729308312.2974
MEM 118.308594 1729308312.3977
MEM 119.558594 1729308312.4979
MEM 120.683594 1729308312.5982
MEM 121.183594 1729308312.6984
MEM 122.808594 1729308312.7987
MEM 123.433594 1729308312.8989
MEM 124.183594 1729308312.9991
MEM 124.433594 1729308313.0994
MEM 130.023438 1729308313.1996
MEM 165.023438 1729308313.2999
MEM 179.390625 1729308313.4001
MEM 180.265625 1729308313.5004
MEM 183.515625 1729308313.6006
MEM 183.890625 1729308313.7008
MEM 184.015625 1729308313.8010
MEM 184.015625 1729308313.9013
MEM 184.015625 1729308314.0014
MEM 184.015625 1729308314.1016
MEM 184.765625 1729308314.2018
MEM 185.015625 1729308314.3020
MEM 185.265625 1729308314.4023
MEM 185.390625 1729308314.5024
MEM 185.515625 1729308314.6026
MEM 186.390625 1729308314.7029
MEM 188.265625 1729308314.8031
MEM 188.765625 1729308314.9034
MEM 189.507812 1729308315.0036
MEM 189.632812 1729308315.1039
MEM 189.882812 1729308315.2042
MEM 192.882812 1729308315.3045
MEM 193.257812 1729308315.4047
MEM 193.632812 1729308315.5050
MEM 195.507812 1729308315.6052
MEM 196.007812 1729308315.7055
MEM 191.593750 1729308315.8058
